x	y	value
879500	1633500	13
879500	1634000	89
879500	1671500	38
879500	1672000	33
879500	1672500	5
879500	1673500	33
879500	1675000	5
879500	1675500	13
879500	1676000	13
879500	1678500	33
880000	1600000	53
880000	1602000	28
880000	1602500	18
880000	1603000	5
880000	1605000	23
880000	1606000	38
880000	1606500	88
880000	1608000	33
880000	1608500	38
880000	1609000	98
880000	1613500	8
880000	1621000	8
880000	1627500	18
880000	1634000	5
880000	1670500	5
880000	1671500	5
880000	1672500	5
880000	1675000	8
880000	1675500	58
880000	1677000	78
880000	1678500	8
880000	1679000	88
880000	1679500	18
880000	1682500	23
880500	1600000	53
880500	1600500	99
880500	1601000	13
880500	1601500	13
880500	1602000	5
880500	1602500	8
880500	1603000	8
880500	1605000	28
880500	1606000	13
880500	1607000	83
880500	1609000	8
880500	1610500	330
880500	1613000	8
880500	1621000	8
880500	1658500	5
880500	1659000	5
880500	1659500	8
880500	1670000	58
880500	1670500	8
880500	1671500	28
880500	1672000	13
880500	1675000	13
880500	1675500	18
880500	1676000	18
880500	1677000	5
880500	1678500	23
880500	1679000	5
880500	1679500	13
880500	1683000	18
880500	1683500	38
881000	1601500	18
881000	1602000	5
881000	1602500	38
881000	1604000	65
881000	1610500	18
881000	1626000	0
881000	1659000	18
881000	1660000	5
881000	1664000	5
881000	1672000	13
881000	1673500	5
881000	1674000	13
881000	1675500	8
881000	1676000	48
881000	1676500	5
881000	1677000	8
881000	1678000	28
881000	1678500	43
881000	1679500	43
881000	1680000	18
881000	1683000	0
881000	1683500	28
881500	1600500	5
881500	1602500	8
881500	1604000	13
881500	1604500	83
881500	1605500	0
881500	1610500	5
881500	1613000	63
881500	1625500	13
881500	1626000	63
881500	1660000	13
881500	1661000	33
881500	1661500	18
881500	1662000	18
881500	1672500	28
881500	1673000	13
881500	1673500	98
881500	1674000	118
881500	1674500	128
881500	1675000	0
881500	1676000	53
881500	1677500	33
881500	1678000	33
881500	1678500	18
881500	1679500	58
881500	1680500	23
881500	1683000	5
882000	1601000	8
882000	1603500	28
882000	1604000	23
882000	1604500	73
882000	1606000	23
882000	1609000	43
882000	1612500	78
882000	1613000	13
882000	1614500	5
882000	1615000	78
882000	1663000	5
882000	1663500	163
882000	1674000	59
882000	1674500	568
882000	1675000	5
882000	1675500	8
882000	1676000	33
882000	1676500	48
882000	1678000	5
882000	1678500	18
882500	1601000	5
882500	1601500	13
882500	1603500	8
